ID,Plaintext,Ciphertext,Length
486,"At first it seemed to be impossible, but I soon devised a means.","2p,9Nz0DU/OOd5jDEY-iD#*8ez3i2UOG6EWu1I533;=,1byI+U0uW;xr*A5BF*QR",64
487,"Rucastle, showing me a slit between two planks.",2rn-F*0!C5Bz9eVF1-Oj^fdsTKtU;RUr:UFt;0NVP;(:<hR,47
488,"And in practice again, I observe.","C,zX(e1HM^:_#UiIQ71rcZI*ggW1rq5h(",33
489,"I believe that that is the village inn over there?” “Yes, that is the Crown.” “Very good.","d/-5jVb1-*,*=3M*zzV1,,*e U1eoj0e3(i_33M*j!j5.0PiM;XIuK1IuUASFUWrfP;5vu1-I;XI;;50kPx1-k1x2",89
490,Might not the nature of the injuries reveal something to my medical instincts?,"Eb121eL;,NVZ#13,aenjVqi81e3(-,TAe33F3#1A;IkIuU<uvE=uUWDrNW9#rR*uW1R:=*BGrWuWdu",78
491,"It is a cold night, and I observe that your circulation is more adapted for summer than for winter.","*^1i#Op3V,NO#O8G@M,-(ig:nTU*NK3M*jey-OIM^#1N *M=3.I;g:.Br;Ig7WEDPM;XIxt:Wd<I.1I2vgGd3E.;T*ruQE.iW5k",99
492,"As I strolled up and down, glancing at them occasionally, Mr.",*iDjAFfb-e33MF:p e1KNp#58j-2((QIrukS3;BQB2P1WQBrgIu3EbKE<S=pk,61
493,"You have been brought there to personate someone, and the real person is imprisoned in this chamber.","*D93(i*1N!ai-i=Uae-m,e3Npe!w#O^Aae-Zee33#XNUj5jMNaaIXM0Vr+y;IuPUR:PR<5;J(v1QBuUvQ:PRr;1brRvBW;IIdZ,k",100
494,If you come pestering me any more with your silly talk I’ll set the dog at you.,"dK3M/5,*COjxPm*8!ONKVBi,-NpeVFi^q-,ZNK(.=xI2*:N5rr:UQ=2vi;Ixt;Wk;QASS;N;5:=gIxR",79
495,I had heard of him before as being a man of evil reputation among women.,"B,F#g9UF_dwV!j(-pVMF05fe#q5UVYN9,NM(rXB5QBx;:0(.UK0Urg:QE=9WW3uKErZ.1(*k",72
496,"We could write in the meantime, and he used to write every day.","d@NejeBU#*8yeVIMjUBnV,*1eBUNDZe:U2tBP;UW;5:#6:Ug7;Uu3;=P;U9P=Gx",63
497,But the deception could not be kept up forever.,"*j,a#5G+e5Gi8X*g:wC5,*dqu;5:33I.:y7Wy0UMd;BxvMk",47
498,"Simon alone, and so we came right away round to his rooms at once.",CB-_(#-(i#*IXVsp3#ie9*!#OIMjgmU-0I2rQ.Ug7;=V:ZUr;I-aWy7;=IIkJIKE7(,66
499,He did tell me the address.,2qNse3eVj^N;eoUBB5S:UuUZcNR,27
500,"Why, Watson, let us put their own devilish trade-mark upon them.","*,*gKP9UDM*(00DUgV033X(5C,!a_iDUd=:KRrWN;IdIuUrOr*Aru;<*ZQAT.;52",64
501,"Hosmer Angel.” “Yes, sir.","*EeqO3C gV,Yoy*rSik=gN1Ik",25
502,It rested upon a heading which sent a chill to my heart.,"b9,NVZe!3930O3iiF;nVMgKN^qV26WN5BT.g;#BriId;PIFdWrR:=5QR",56
503,Those are the crucial points upon which the case depends.,"2I Def*,*3iigK(Bg-m:5*,*,Mz-tR5gv;5:6BQ:=6IT.iId;5:KU**7R",57
504,"Find what I owe, Watson.",Ba_ijg(3MiIgU7iXIrOU:KRk,24
505,"Suddenly, amid all the hubbub of the gale, there burst forth the wild scream of a terrified woman.","BMFN!=V^9(-9,2N!i,*3#O2N5,,*jm-,*YNuuV,*jMI9e80u8ubPk1Z:gS;5;8D!x;51QU;5v0tuE.u;5iWBTvZE=F5SEiB(Gk",98
506,We know something of Saxe-Coburg Square.,"C9T,-uZ0s,Y#13,aUFv!*pkUR*uW1x;/#zDr;NQ(",40
507,These are the more patent facts which are to be deduced from his hat.,"bM(iV-O8d85D#*,M3iiJ_OB^He#V,*,Mz,t55gv;5:.UG56EZuiIdgv;=,:3T3EkBIIXR",69
508,"Then I thought of you, Mr.",*iDK(-*K-*O0N6PW;RIuE=xIpk,26
509,"Swiftly I threw off my clothes, pulled on those of a beggar, and put on my pigments and wig.","G1Np(B,F-5U-d-IM,Hw5MYeY3U-8jXeq3w*5(YU,3(N^=05Et=ruvUx=2:kuN1dS3EruyUxg0Ugrg7:uEr2:1*6IQBUE",92
510,Sherlock Holmes was already at breakfast when I came down.,"Bg5,L(U,i24h,5_Ns,m(A(, -7weeuPk_p.*I#IQvZ=K0voYui5rrG*:Ok",58
511,"You’d be as warm, maybe, if you were as pestered as I am.","*MOfN,^q-feeiX5=eDsV,9ife5uXYyT0UKiQB:a,1EEyiPUK:N5vBKWg2",57
512,I had hardly finished when Holmes returned with the news that the boy was putting in the horse.,"CO-e3UiF:d-fiX5,*_3(0i,*31N!NCVqe/U,i8(1END9VsV.;Z;Qc==ru3i5r47NWNtvBUu;5WVIuK;50xiK:uIr1ruUR6(",95
513,"But ‘Cooee’ is a distinctly Australian cry, and one which is used between Australians.","2p0M2XUj:DNz5=VBUegNpe5*p0M2XN^B:=5M=ej/*3RDI0xVU;g:;I7t=6u<rQ:k1QB.UN:I;;5B,5Vr6u<rQR",86
514,It was something terrible and deadly.,"dDn5IMjIV^#13,a(A3.I#IR*uW15S0vg7:#cx",37
515,Francis Hay Moulton.,BZDFNH(:p#PQBIH=4tRk,20
516,"There was only one thing in it, but I am sure that you would never guess what it was.","2A3i_U(qXVj!NDFNK3M*,RVMOd5^i1#13egN!-fi,,t5viKES=.UuW1W1I0uWgBuv;XIxI(tBvMr;NINK1I#R",85
517,"Hatherley,” said he.",CVI4eDje3HHuPv=1X:;(,20
518,"She will not be up, so that we shall have a clear field.",djEVn^9emVjMO!3M*aeKe5Gij1eeuUUSWy0UT1R;XIV;XS;oUFc#r=P2,56
519,"We found the brass box there, although its contents had been destroyed.",dD-2DUj5sVJ0BZ(BVK-CMje3NK(fNe3N;ae:UxtBuU+KIzFuPUg6RII;I26Pu;Z0Vr*ukO2,71
520,Of course he must recall the snake before the morning light revealed it to the victim.,"*:B,,*Z3i8mj,3#0#1i-e3e#q5+AO,*jL,3yV,eOX*Ja:y6U5:uIvGS;5;<M0(.UuU2SW1r;IvMQ31IR;5p:I2",86
521,"There is no good for you to do.’ “‘But, madam,’ said I, ‘I have not yet done what I came for.","*ae9*O_Ueg5C5GijM(VzNpOj9sV^RV3G5ZNKVaN/-F(i,,t5v1Ik1xBxrxIR:x=1DI:ZZ1;FBr1rXMWyEN:.UNKW:ZUxk",93
522,I have already arranged what is to occur.,"*TG#*=3Mi8FM9Ns,memV.;oUQvZ=Q<r3iXI;;=Jdk",41
523,"Toller,” said Holmes, “for you have certainly cleared up everything which puzzled us.","258+6-3iiFidej#589j*81Le*jMNKVaVz, -I4e,j t.vr1X:p.*I1xrxIXM:PXWk:vQ3;B9PyIriId:IW3;R",85
524,I entered my consulting-room and found a gentleman seated by the table.,"CDLe3N58_zUMjB 9N;aNpV/UF:D=ZNV8eB,.i6P3:=26tIrQxBQBxtBFi6vGr5K30=uUX+(",71
525,"Henry Baker, who was a member of your goose club.” “Ah!","V-3d8*z/-NK(-e5,9(A#UeehO50oPk0oP1N=#IF*CPE=xt1x5:6z=W8",55
526,"What could it be, once more?","0#V^geD3i8X*_UdK:y71I,1.*:.N",28
527,"The door of Briony Lodge was open, and an elderly woman stood upon the steps.","2w2e3U/5XZOp#i8e8,pNpe0/(AeKoNgiOYV/5,t5:xrx0r.=kBU#IJP1QBQi7PkiJQ;RJ;2ruUu3R",77
528,He was brought up and remanded for further inquiries.” “So I heard.,"d9,(#,32!UT1V,*RVaNDpeVIMK3#XN(AeoU#I+y;ITg7W3Q*Bxry65rWNWiR=;=r5Q2",67
529,People tell me that I have spoiled him.,*iNjgaemVO_3eVj^e wz(cU5S:UuKW;oUT=vBI2,39
530,He has not been home for two days.,"2s5F*#O,-Uj5GifV M;KWy0VrR*E.;(:aR",34
531,And here comes the country surgeon and Mrs.,"2UNpUw-RN3;Ze3(,ZeeVIQ7;PU2*IuU2tt=ur(rQB?R",43
532,It’s the big white one over yonder.,*Dg5e egeBU#;e3(b.uIuU!1N;U.UfPE.*k,35
533,What could be the reason of his overpowering terror?,"i-e*Fi!/e (i(-gf,e3e58X*_UdK:y70UuUvK.E=IIfP2Vrr;Pk6",52
534,"Yet, with all this, you made me reveal what you wanted to know.","BFvZN^piX5_UenjV,esVX5zi*jM31eCYN1UugS;IIEy:ZU*W9#rNKEyiQ5BRpk(",63
535,Creating the works from print editions not protected by U.S.,"C*N58b^--Gi=FB831#V-O.#i,*F:n3+#Ir;5i.@EkBcWI3;E6Wy:k5d30=(R",60
536,"Some friend of yours, perhaps?” “Except yourself I have none,” he answered.","d,!=M,ejgijM((jOX5G^sV1YMe-zNK(-I!(e#DJU.i7E=xtI:PXdu1g*dEy6P=rXMW.U15g6Vv2",75
537,But Holmes shook his head gravely.,djm#NnV=V<-Oqe/3RDI47N;Rf;;;#BWoPx,34
538,They spoke of those hours of burrowing.,"G1gVu(-OXVz-*Ye<aN,t5=TfUx;R5;y6E=DSOWE",39
539,"I leave a photograph which he might care to possess; and I remain, dear Mr.","*i9De1M,(Np9xzY-Ze9**FV,VBUVo#Z--Mjn,.W#Mg:RRWZIN:I5:1u:QUR:y5uBQBrvGW1*Qpk",75
540,The whole party proceeded afterwards to the house of Mr.,*iYey-e3#*y9i^fNDjG#N*He UeN6UN.UG6=cJV*Ba5vQd;=uURuUxpk,56
541,It was from her that I had your address.,"2qNsVX5sVO_3V,V-Ofi26iKEkB5ruKW;ZEyrZcNR",40
542,"It is evidently trying to your nerves.” “Oh, no, not now.","BF3FeFe3Vbq,!VX5Z#15*8BD0,=3.I;iA*6k;kW1REyrvhNx1K1k1kIk(",57
543,You have been looking a little pale lately.,"dj_,jHe^B,MFW/,0DemVXYy;oU,PWxArgW;tUGvWKPx",43
544,John Hare alone could have equalled.,"djmT,jMNDZegme9-iK(tpQUQ.U2tBXMiNQv2",36
545,"It was not mere curiosity, though I have my share of that.",bM*Ye9(NVjM(VK-*DBYiTeeVGifi26iKWy:PUdry;=;RIIrXM:=uQUx;XR,58
546,The evidence against him was so strong that the case has been referred to the Assizes.,"2+EYe3#*8Vz,Uj5fVzLe33M*F-2#OfiUV21HM^0IjeN6U9:P*ggWu;:iK;=ukr;XIuUG5;K0VrvOS3;=uU6IiR",86
547,"One was the fact that his father should, according to his account, cry ‘Cooee!’ before seeing him.","*i#1jO,aDVe ZV5*^;Z_(i#*F;#bMDD-Oe34(i3M*b4e3(Ae:QU#IuUYd;XIIIYuP;RtBgb.Br;=IIZ2tI:k1zOe!,xv;VW1I2",98
548,"But if it were the maids, why should your son allow himself to be accused in their place?","0_ V03Ui8ybMD#*qzUVgjMgONKND-O5izIMe3eeiB(idqu1=;iPUuUG:IiR;RtBxt;.gSO;:5k;=,gbu31ruUrcZN",89
549,"She is impetuous—volcanic, I was about to say.",d4#*dKMfiO^1L zyKC-i=eeuU;1bNRus.GrBWiKgzu;=Xx,46
550,Rucastle let me out when he came back before he went up to you.,"dK#*K30i,e#q57@e9*,U,id-,3je^fdsTKtUvI*Eui5r5:ZU _0(.U5iPIT;=xR",63
551,There is so keen a sympathy between us that I should know if evil came upon him.,"*iU/5,Le0,=UFv8X((3M*yUj:DN3HNOM0+#O=eeN6PU;;=MPg;JGu=,5Vru;XIruy7pkUEiArG*;2rI2",80
552,He was too good and kind to leave me so.,"GO,emj#*IWNpN/-/*fi MiK;x1xBQBA7;=voU*;x",40
553,It was one of the main arteries which conveyed the traffic of the City to the north and west.,"bqiIM3#i,*ZNB*,*Y3Ef3e3NDjg*3iiqi^9UpV,*Yeg(A3.I#I.Ux;5:FrQ5rNiId:.MOBuUta=Bx;50;=R;5W.ug7iNR",93
554,I marked the spot upon my own head.,dnV1-5U/5Gae3N+9V.:QMBuUTy;2r2EP;#2,35
555,Then here are the father’s feet as he paced up and down.,Bg5IMKN^HeVf3jOOe34e3e9eeV0N6P;PUQUuUYuP6EVIK;UG*BTg7:Ok,56
556,"Jeremiah Hayling, aged twenty-six, a hydraulic engineer.","*j1F,BDMuVMDE;B!*8oeF0s-9i,DVvBKparr1F3;V6YIFg;J<t:irWVk",56
557,"A lady dressed in black and heavily veiled, who had been sitting in the window, rose as we entered.","d,^0eifeYV!K1i,*1#1bEUj5sV-iDj0,80nVIM7n51NzqNNs,QWZ=cN5BW0<_g7;#AkpUvBiR;Z0VrIuW1W;5iW2UWyUKiUP5v2",99
558,You have really done very well indeed.,"djIij!Ne,!KNjnVjMNaaIXMW#S=2vpP=VS17V2",38
559,It is precisely for that reason that we are going to Stoke Moran this day.,"d@(i*p#i+Z,Z#1/e9ei_3UanV_3VaNj=C#(i261Ic3;P=xruKW#RruKiUQUEW1R;RMp.Q;IIGx",74
560,"Then he stepped into the cab, and in half an hour we were back in the sitting-room at Baker Street.","bj3,ehO_V/UF:BO,*1P_5,!eiN-UMqMUiIMDLe3#Bi8/^O,U,t5r5;5b316=uUG!g71rXkgrRtiUVv0ZAW;5;;IrQxBK0oP;tVR",99
561,"The Duke, his father, was at one time Secretary for Foreign Affairs.","2U4YUF,/VaN9C3jeU*!-_(Aee34(ie+teN6UdM1IIYuP1#IKEv;:U5cNQ=xr(v1rkYWR",68
562,"There was no furniture save a little pallet bed, a small table, and a basketful of linen.","B!0(-DJ+f5MIMjDLem(9e85CjHe^B,Mj4eNBiR#ifi,,t5viKW=yS;tUXMgW;tUGSN031FTQrX+Ug7g0KMRtE=rvk",89
563,"It laid an egg after it was dead—the bonniest, brightest little blue egg that ever was seen.","BjOfiej3M*/,DDe^B,2^#i5^q1g5,dsD(A3ie2M/,pNp,26WFBQi1gyP1I#I*Zd50.rNI0r;5uW;tU+5i1;XI9PiK;Vk",92
564,Merryweather gloomily.,d!#w-e3n;V!MSO#uP1kJWx,22
565,"The shutters cut off the least ray of light, and we waited in absolute darkness.","2qW95^8asUi8BAeiIM^#0(-sV2n,,*x-d*O^d(eN6Uuu56:uEx;5W#uWaE=r;Ig7iU#;31rwR65:Q?NR",80
566,"Seeing that his passion was becoming ungovernable, I left him and returned towards Hatherley Farm.","*9-8,,_-y9g*8iT,NpVi3q,OjDAe F5FiZD(AUFxH(i3M*F0j5Ur;XIIIGuEr#I,2Br;rfP<+UWW(IIBQBvuS3;OQdpK5S(iQ2",98
567,A man dying from a sudden blow does not commonly become delirious.,2Xi0De#C58gVZ3F( 5gDUDuOM#(#1uUM#rGr2W1.Jg;T*r+O:OIkI2b.k03JU*rryR,66
568,At first it was but a lurid spark upon the stone pavement.,"b0em-!ZO,*gKP9aNi893u(A3i2UOG6EWu1I#IDIF6rBTQAT.;5;Rv:o3PR",58
569,It had only lain there a few days.,"2s50OM,,*1nN!-sV26;ZES=<W;5vgEV:aR",34
570,"His wife is a very tall and strong woman with a sour face, as silent as Mrs.",2U(MBjE(Mj_ONa9VBip#iF-2Npem*5j9(iz1(gAIUO1IFMk;QrQBukriJQi;IFRtEZUgIIv6gI?R,76
571,Singularity is almost invariably a clue.,C8*M8sin13YeM=NB9DF0IrtQ;=;g7yIWHrwkg:6(,40
572,"What is it?” “We shall be at the Copper Beeches by seven o’clock, my friend and I.","2NpN0iO5e7wG-0jOu(,CzV /*,*_e5jMO!V1B(i_UdK1I;u1*;XS0UK;50J*r,35Iz;9PEJk_12ErPBQBk",82
573,"All right, John; we shall not need you.",dKNjiGijMO!9iKe*FVjQSW1u1(tBV;XSWyWVBxR,39
574,"If the lady loves her husband, she does not love your Majesty.","d2jAVX5jw3F( 5,ODpR5V,(jwNs,,*xk;5WZ=kMI5ru8QB;5:OIkIkMEyrH,ux",62
575,"But how on earth—” “Oh, tut, tut!","3Ted*,*VV*nU-gVdqu;OEr#6uIgI;u1u8",33
576,"Oakshott, 117, Brixton Road—249,” read Holmes.","2, -s,e,@uH5gdiO+/eb-.L/@Ru1jr0rK.pYbp=1vZp.*R",46
577,Could I not snap the bond?,";g5,*oE3F(NDZztBrkItZ;50.d",26
578,"And now, Doctor, we’ve done our work, so it’s time we had some play.","dn-,aNMei,:(biaevFVXeg5jji,ZGv!FNgSBkU:JRriVM:.Uyr(h1R1uII*iUXBR*:<x",68
579,Who could come to-night?,":#1g*,ZNDZ#Ud=2tB2*;Yr;u",24
580,An ordinary man could not do it.,biK3FNDZUMN915-gSE7WQ=Gr2tBkI21R,32
581,"Holder, that you are nearing the end of your troubles.” “Ha!","9-32ju-*NK(-I,,*Fini,MX5_3ee8/47P1uKEygvW#rr;5i7E=xt;k8vR=pw",60
582,"I implored the colonel to let me out, but the remorseless clanking of the levers drowned my cries.","2!3NV81-5Ojje3(-FWp^(qjO-,e33ued-,3j#*jg *,*8# U(r:c.3;5:..P;=vI*Eu1DIuUv26PNIcQArE=uUvM6:kP3:=ciR",98
583,Hudson has had the good sense to light the fire.,"CUO,**F,Ze=zN/-,*sVfVgyX@d.;K;Z;51xB56URW1u;5EW(",48
584,Suddenly my eyes caught the glint of a light.,"b#09(-B0-,**KL(D,5N!DuDT*S=2iOIGIu;51r6E=Fr;R",45
585,McCarthy was walking alone.,Cgm#1lA(AN39bpCQu=#I#hW1Q.(,27
586,We have already a clue.,C8*MuneMjMe:UXMgS#2g:6(,23
587,"However, I shall write two letters, which should settle the matter.","*^_V,*jbzND-O3iizebj#:eBUem((eejgoO9P1ruQrP;U5=vuPIiId;RtB5uv;5:K5k",67
588,"After all, I thought, we are not injuring her.","*,#1N!iGi,M!e*K-*OjmV^Yk5rQrW;RIu1VgvWy1ltW15k",46
589,Holmes.” “Unless this is a clever forgery to put us on the wrong scent.,"b02#gUe3U-y3X#*5 #Oej^9(i=3(q!V32, o.*R=iSNIu;1IFc9PE.ik;=dIuEruUP.1TPR",71
590,Thrust away behind a curtain in the front room were all the clothes of Mr.,"*iY(,G^e3emeei#-3g(e3Ui1LN*MIiDNAM25N66ug#=,I7g:tXW1ruU..IkJiPUQruUcy5Ixpk",74
591,It had escaped my memory.,d#eV5N LqNM3.IXBNG*B2:3.x,25
592,"Holder,” said he; “I can serve you best by returning to my rooms.” “But the gems, Mr.","*ize-,*dO32#-NVZ#1iT,N52DNKe,zUL(VnVI4e,D o.*r1X:;31rGr5hUxI,u0=vuSW1R:=kJR=0u;513Ipk",85
593,He had turned his back so that none could see him but I.,23uViezNDZegi_3#O7@(iN!N*sV M;Z;tvBII _;=uKW.U2tB5UIBDIk,56
594,The chances are that she would be as averse to its being seen by Mr.,"*iuUjOF05JiZeOjMfe58Xi,O_3e9(^p3eN6UdQ*IQUuK;5iy70UKgM6UR1u0Ur;Vrzpk",68
595,I saw that he was too hardened for any words of mine to influence him.,*ieBDz1#*!i(-y#iIM#O805M#Z(AeV_3U4(rXUuK;U#IR=X7P3E.gki.dE=Bv;=W.57UI2,70
596,"I was frightened of the house, of the man, of the woman, of the servants, even of the child.","d!3e3(-0jeJp,ze3(-!MFe3(-!Me3(-jy-e3(-80*F((A(r#I.1uP3E=uURuUE=uUGrE=uU(GrE=uU5hQu19PE=uUdW2",92
597,"Clair’s coat, and not Neville St.","b,j!jvGiIM^H*OUnC<W6:YIg7WyE9Wv;R",33
598,"Yours faithfully, “‘JEPHRO RUCASTLE.’ “That is the letter which I have just received, Mr.",*iDj0CV28emVO3iiebje3(i_NVb)8ZN3Xm5VDjR3pOOXYy6EFuyS=1iE)FM+trx16K1IuUvuPiIdW;oUDuW3UMBpk,89
599,I thought there might be some weapon or other trace.,"C_3V,GV-go!e#OD3#iee33#X3(ruy;IuPUB;I,;JUVZ.Ery5rtZ(",52
600,"Windibank came he made her sell the business, for he was very superior, being a traveller in wines.","2!1UiejjM*MF05,FeKO5j(AeV#Ozq1y5,*jzV,esV,e9*r@;1:WB h:ZU5:ZU5r5S;50uWNIE.;U#IMk;TPEr0Urg;<MSP1rUvR",99
601,Never let yourself doubt upon that point.,"b1/3M*gK3uK(jOX5C,ejk9PWNEy6P=28IT.;XI2WR",41
602,It is this infernal St.,"b,miz1(i*=3.I;;IIWOSQ;R",23
603,"I have it here and I will read it to you: “‘The Copper Beeches, near Winchester.","*^q31i9!eq3jOe/ZeNV9X5Z3is,e!iOIM,,3ijM(rXM1I5vg7WiWrvZ1IREy!16UzbP0VdN1vQ:WdN5k",80
604,"Just a trifle more, I fancy, Watson.","Ba_iDB4(e,-ezi*M2uNug;r.U2v1rY7=:KRk",36
605,"I am staying there while I conduct the inquiry.” “Where is it, then?” “Near Lee, in Kent.","b0M1ejM9+V103eB(i,,i3dUT1e33dIZ(e!Uee3#1s2VM.gBuaW1uPUNWUr27TIuUWNWx=:5v1I;1uPu1OQWV1WEPR",89
606,I left the house a little after eight o’clock this morning in the character of a groom out of work.,"c#iY3XV/#9(-ebMM*,*1#1i-(i*7wG-*F,e2Mjb09ey-e33q,.W(IuURuUFruvgyPi1uEJk_;II2SW1W;5:X<dPE=FWxByIxi.4",99
607,"I could see a change in my uncle, however.",*j!-ejB55Ui p39ezNDZ(r2tB5UFdQi1r2;7v1RVMk,42
608,Holder and I went into the dining-room and waited by the fire until he should return.,"BNCV8X(eV!B5,Ee3N58BANpV/UF1;e3#BiB!(NpVD o.*rQBrV616=uUBrrQxBQB#;30=uU=v;6W;Uuy7WNtk",85
609,The Boscombe Valley Mystery V.,"CNe2INjm,D#2aeN6UzTJ,gQv=4uP=a",30
610,"this may save us a visit to Brixton Road,” whispered Holmes.","2, -8eaiijsKUZI(#*B=,MyemOsV=3u;:a;oUugp;;;=+gRr4Z1iITP3p.*R",60
611,How very impertinent!,"301* UNe,goOpP=:*6WP8",21
612,Don’t you see that the converse is equally valid.,d0nNj@C(ize!Ze33M*jOX5Bg7.6Ey;V;XIuU2hP51IVXS=Hr2,49
613,"To donate, please visit: www.gutenberg.org/donate.","C_gX-Z-D0dZ1iLE0efj-j_g5Kk:.KU:vKUAI8iV=uP,rxrZ.K(",50
614,I have felt like one of those poor rabbits when the snake is writhing towards it.,"biy9g*FiBU(i+AO,*0U(BuMV/-z-*Yeger,CzemV.;oUO6WpU.Ux;R5:xr<j;INP;5;<M1IP;Ir;OQd1R",81
615,A loud thudding noise came from somewhere downstairs.,"2UL=g5,,0#O#(e9*zgiF;u3NX,QWyBuTBrW=5:ZU.J;JV5v:O6XWR",53
616,It must be where she can lay her hands upon it.,"bigK(IMV,NnULe(eeUe5253.Idu0UNPUuUGr<=5rX7IT.1R",47
617,"Grimesby Roylott’s chamber was larger than that of his step-daughter, but was as plainly furnished.","d,=iRN!p (Mfid5,^#sIw2(i(-_3UM*e-n(AVD93(bGDKNR,i=r*8=4.yuIdZ,r#I<rP;XruKE=IIu3ZK;5r0uiKgIcFS=yS;52",99
618,It is the five miles of country which makes the danger.,"* p5,*qhV3ii5BX*Y(jie!O,*=3.I;;5EpUBvIx:y6kiId:oN;5:Qik",55
619,"Holmes chuckled and wriggled in his chair, as was his habit when in high spirits.","2BUaVFV1U,iBsV=VfifeUM*=V1Nj/iiIM8+d3(, o.*IdT?3g7ir1vBW;;:XW1KiK;;;w;i5rW;1ITW;R",81
620,"I should become the laughing-stock of Scotland Yard.” “All right,” said Holmes quietly.","d^!T(, -I4e^#ie Vb54Np^Z,YPG2g1#s,,*,ZDND-O.;RtB,2*;5WK;WguJAx;2tQB/7x1Srr;I1X:p.*INitx",87
621,She was a nonentity.,dBB!F9(AeeuU#IFkv6;x,20
622,I don’t wonder that you should take an interest in it.,bi13qeBipeh*8X(NK3M*eIF31K(r2SI(7P;XIxIuy7;oUQ16PNIW1R,54
623,"Square, too, quite unusual boots!",(GKe@y;eBTe/*j9TDNQU;x1N;UtuXrzy8,33
624,His face flushed and darkened.,d!+95IM8(8O^4(gAIY*E6u3g7:QMv2,30
625,"He’s a young man, Mr.",*i!M#;K9(joVIFxt1Grpk,21
626,Jabez Wilson laughed heavily.,"d!m,N,KnUa!ils5wU:WRr<I5B5oWx",29
627,Holmes; you have learned something!,"#13,aN!9jemVX54, o.*TEy;oUvQvBR*uW0",35
628,The Man with the Twisted Lip VII.,"2q#pN^=;e3VBipi,t5pQi;IuUv;5BrBQk",33
629,"I think that I will go in and have a word with Moran, and perhaps write a little note.",CGijb09eBU(oV Npep#i31N#iMjMNpUi/e!iO_3P13(ruWAuKWiWrE1rQBXMgi.BUup.Q1QB*6ZIP;UFruvWy(,86
630,"Well, here’s your good health landlord, and prosperity to your house.","Cy-VX5ZNBea--IMD#Dp,3m,N/-NK(jeVjj:Pr;PVIxt1xB5QuWQc.Bg7:kTP;=REyrRu(",69
631,"Then who could this American be, and why should he possess so much influence over her?","i,Vj-^08=i35#OxzY-,ND-O5iIMj5pBe#(i*8X*-i0N6PiR:y7;II7P:Q0Ug7iR;RtB5:y5u;=dd1k6P*EMr56",86
632,"I thought that it must be when I saw the door open.’ “‘Oh, I am so frightened!’ I panted.","d^p-OV80*F(#O9(e3V3B -#Ke3U4(U,iD3yVB3M**K-*.;RIu;XI;:uI,i5rrXUuU2.E*k=1K1rZ;=.1uP3jW:Q52",89
633,"A jagged stone was lying among the moss, and this also he carefully examined and retained.","d!pCVIM8198NjR,LeVam(i*IMzYV,*F-MF;,fi!ZO8/n#r 13;RviKW=rg2r;5:yIg7;IIQR;UGvyS=#ZW3g7WNFv2",90
634,"And into her sitting-room, which was the very room which I suspected.","d^CaR(VBUV/V5je3(AVBUe#-g1bEV,#BiIQ716=5rIuWgkJ1N:I#IuUMkWxBN:IruT352",69
635,That trick of staining the fishes’ scales of a delicate pink is quite peculiar to China.,"_13#*90T eBT(irge_Bj5MY(jLOx,=O,*F1p2(-7i*_N6K;r_E=uFrr;5E;5u;GvIxg:P:KUBh1IN;U*drQ;=DWa",88
636,"Will you not wait and breakfast?” “No, I must go.","G-25(eQV124h,5IMBA3FNKe!:WrxIkI#;g70voYuu1x1rdu1x",49
637,"Some letters get more worn than others, and some wear only on one side.","CIO!-gN!-9!e#OIMze3-p3U#i,-3 (ebje#DJUvuPIiI2vi.ruQEuPIg7;JUVQES=.Ev;:(",71
638,"Hosmer Angel.” “I suppose,” said Holmes, “that when Mr.","*i0U3M*eqe/NpOjz/KOO3C gV,Yoy*rSik=W;T251;FB47N1;XINPpk",55
639,It was the same good friend whose warning I had so foolishly rejected.,"d^CjV8(0/OaNM(#1iAeYUN0iOX/e9O,*fi26iK;5;ZUEJErPBNyU#SW1rXBRExrukWe352",70
640,"Oakshott here and I’ll answer her, but what have you to do with it?",":i31#5ZNKemV_U3ueeVeEpezOIM,,3G(hGouyI5vg7WSrQ5P;P1DINK;oUxIR:=Uu1u",67
641,Of her I could see nothing.,"G13FezNDZ(V,(G=5rr2tB5UkuWE",27
642,I am going out now!” “To the police?” “No; I shall be my own police.,"CB -1-5e5jMOOHvU0B -,*KVVgid-Fg-9(rZ1=rEuWOj1k;5:.:NIEJW;XS0U2EP:.:(",68
643,"As I ran down the passage, my sister’s door was unlocked, and revolved slowly upon its hinges.","2 1VJigKN!wO8jw,Npe87w;(AV/5Oe2ENVjoxHe3Ug5pVOY6WWQ:OruUGuFU:=IuP6:xr#Itk_31QBv4h3;kP=T.1u;WiR",94
644,"And, first, as to how it came here.","CeV,L3igVZ(M^OEeIQ71=6IgIR;O1IG*;P(",35
645,"If you find you cannot, take my advice, my boy, and leave it to your deadliest enemy.","de03q0sDVX5Z3ijn,IMDKNVjBDM5eh*^Fp*X5IENK(.=xI=7Ey:QkI;oU2g_:U:=z=g7W#M1IREyr*ZrNIP3x",85
646,You heard him yourselves to-night.,"b#1g*qjzNKViN9,NaaI5QBIBxt5hN;Yr;R",34
647,"Besides, it is not I alone.",Cgm(3F(iBeqIqqN:N1;1IkIrQ.(,27
648,Perhaps it was thoughtless of me to say so.,GOsOZeVY(q^#X3(A3iYMezPXd1I#Iuy;tNIx:UR;a;x,43
